Total entries: 197,678

Rank  Name          Number       95%     %-age  Cumulative
                    in Sample    Conf.          %-age
----  ----          ---------    -----   ------  ----------


 497  HOBBS                52 +- 32.1    0.03%  37.88%
 498  ROOT                 52 +- 32.1    0.03%  37.91%
 499  COCHRAN              52 +- 32.1    0.03%  37.94%
 500  HOAG                 52 +- 32.1    0.03%  37.96%
 501  BRIDGES              51 +- 31.8    0.03%  37.99%
 502  BURK                 51 +- 31.8    0.03%  38.02%
 503  DOWNS                51 +- 31.8    0.03%  38.04%
 504  ELDER                51 +- 31.8    0.03%  38.07%
 505  PARISH               51 +- 31.8    0.03%  38.09%
 506  PEARSON              51 +- 31.8    0.03%  38.12%
 507  WILLS                51 +- 31.8    0.03%  38.14%
 508  CLAYTON              51 +- 31.8    0.03%  38.17%
 509  HEWITT               51 +- 31.8    0.03%  38.20%
 510  GOOD                 50 +- 31.4    0.03%  38.22%
 511  COE                  50 +- 31.4    0.03%  38.25%
 512  BENJAMIN             50 +- 31.4    0.03%  38.27%
 513  YORK                 50 +- 31.4    0.03%  38.30%
 514  SAUNDERS             50 +- 31.4    0.03%  38.32%
 515  SMALL                50 +- 31.4    0.03%  38.35%
 516  NEWCOMB              50 +- 31.4    0.03%  38.37%
 517  CANFIELD             50 +- 31.4    0.03%  38.40%
 518  NICHOLAS             50 +- 31.4    0.03%  38.42%
 519  BENEDICT             49 +- 31.1    0.02%  38.45%
 520  LOW                  49 +- 31.1    0.02%  38.47%
 521  HATCH                49 +- 31.1    0.02%  38.50%
 522  DUKE                 49 +- 31.1    0.02%  38.52%
 523  HAYES                49 +- 31.1    0.02%  38.55%
 524  MOOR                 49 +- 31.1    0.02%  38.57%
 525  MILTON               49 +- 31.1    0.02%  38.60%
 526  NOYES                49 +- 31.1    0.02%  38.62%
 527  TATE                 48 +- 30.8    0.02%  38.65%
 528  NEWELL               48 +- 30.8    0.02%  38.67%
 529  GOODMAN              48 +- 30.8    0.02%  38.69%
 530  SEXTON               48 +- 30.8    0.02%  38.72%
 531  BEARDSLEY            48 +- 30.8    0.02%  38.74%
 532  BEAVER               48 +- 30.8    0.02%  38.77%
 533  GRIMES               48 +- 30.8    0.02%  38.79%
 534  WILKINS              48 +- 30.8    0.02%  38.82%
 535  HANSON               48 +- 30.8    0.02%  38.84%
 536  READ                 48 +- 30.8    0.02%  38.86%
 537  DYER                 48 +- 30.8    0.02%  38.89%
 538  FOOT                 48 +- 30.8    0.02%  38.91%
 539  LINCOLN              48 +- 30.8    0.02%  38.94%
 540  SNELL                48 +- 30.8    0.02%  38.96%
 541  LOWE                 48 +- 30.8    0.02%  38.99%
 542  ALDRICH              48 +- 30.8    0.02%  39.01%
 543  AMES                 48 +- 30.8    0.02%  39.03%
 544  WING                 47 +- 30.5    0.02%  39.06%
 545  GARCIA               47 +- 30.5    0.02%  39.08%
 546  HEATH                47 +- 30.5    0.02%  39.11%
 547  COULTER              47 +- 30.5    0.02%  39.13%
 548  CULVER               47 +- 30.5    0.02%  39.15%
 549  SHAFER               47 +- 30.5    0.02%  39.18%
 550  PETER                47 +- 30.5    0.02%  39.20%
 551  LADD                 47 +- 30.5    0.02%  39.22%
 552  HINKLE               47 +- 30.5    0.02%  39.25%
 553  MCGUIRE              47 +- 30.5    0.02%  39.27%
 554  BRIGHT               47 +- 30.5    0.02%  39.30%
 555  LYMAN                46 +- 30.2    0.02%  39.32%
 556  WHIPPLE              46 +- 30.2    0.02%  39.34%
 557  BOYER                46 +- 30.2    0.02%  39.37%
 558  CHARLES              46 +- 30.2    0.02%  39.39%
 559  M.CCOY               46 +- 30.2    0.02%  39.41%
 560  ELLIOT               46 +- 30.2    0.02%  39.44%
 561  CARNEY               46 +- 30.2    0.02%  39.46%
 562  STANLEY              46 +- 30.2    0.02%  39.48%
 563  CHAMBERLIN           46 +- 30.2    0.02%  39.51%
 564  HARTMAN              46 +- 30.2    0.02%  39.53%
 565  CHILDS               46 +- 30.2    0.02%  39.55%
 566  FROST                46 +- 30.2    0.02%  39.58%
 567  M.CDONALD            46 +- 30.2    0.02%  39.60%
 568  BRAY                 45 +- 29.8    0.02%  39.62%
 569  EDDY                 45 +- 29.8    0.02%  39.64%
 570  GODFREY              45 +- 29.8    0.02%  39.67%
 571  BOON                 45 +- 29.8    0.02%  39.69%
 572  FISK                 45 +- 29.8    0.02%  39.71%
 573  CHRISTIAN            45 +- 29.8    0.02%  39.74%
 574  STEEL                45 +- 29.8    0.02%  39.76%
 575  IRELAND              45 +- 29.8    0.02%  39.78%
 576  EMERY                45 +- 29.8    0.02%  39.80%
 577  BALLARD              45 +- 29.8    0.02%  39.83%
 578  LINDLEY              45 +- 29.8    0.02%  39.85%
 579  FOLEY                45 +- 29.8    0.02%  39.87%
 580  GREGG                45 +- 29.8    0.02%  39.89%
 581  EVERETT              45 +- 29.8    0.02%  39.92%
 582  HITE                 OLSON            44 +- 29.5    0.02%  40.19%
 594  STODDARD             44 +- 29.5    0.02%  40.21%
 595  THURSTON             44 +- 29.5    0.02%  40.23%
 596  KNOX                 44 +- 29.5    0.02%  40.25%
 597  MEANS                44 +- 29.5    0.02%  40.27%
 598  BARR                 44 +- 29.5    0.02%  40.30%
 599  GARNER               44 +- 29.5    0.02%  40.32%
 600  KERN                 43 +- 29.2    0.02%  40.34%
 601  STEPHENSON           43 +- 29.2    0.02%  40.36%
 602  SWAIN                43 +- 29.2    0.02%  40.38%
 603  LORD                 43 +- 29.2    0.02%  40.41%
 604  BUTTS                43 +- 29.2    0.02%  40.43%
 605  WHITAKER             43 +- 29.2    0.02%  40.45%
 606  KENT                 43 +- 29.2    0.02%  40.47%
 607  FULTON               43 +- 29.2    0.02%  40.49%
 608  LINDSAY              43 +- 29.2    0.02%  40.51%
 609  HENDRICKS            43 +- 29.2    0.02%  40.54%
 610  ZIMMERMAN            43 +- 29.2    0.02%  40.56%
 611  EMMONS               43 +- 29.2    0.02%  40.58%
 612  MCCORMICK            43 +- 29.2    0.02%  40.60%
 613  VINCENT              43 +- 29.2    0.02%  40.62%
 614  KINNEY               43 +- 29.2    0.02%  40.65%
 615  PROCTOR              43 +- 29.2    0.02%  40.67%
 616  KELLOGG              43 +- 29.2    0.02%  40.69%
 617  GROVES               43 +- 29.2    0.02%  40.71%
 618  CARLTON              43 +- 29.2    0.02%  40.73%
 619  COON                 42 +- 28.8    0.02%  40.75%
 620  DOUGHERTY            42 +- 28.8    0.02%  40.77%
 621  HAINES               42 +- 28.8    0.02%  40.80%
 622  CAIN                 42 +- 28.8    0.02%  40.82%
 623  HARMAN               42 +- 28.8    0.02%  40.84%
 624  REESE                42 +- 28.8    0.02%  40.86%
 625  MESSER               42 +- 28.8    0.02%  40.88%
 626  WESTON               42 +- 28.8    0.02%  40.90%
 627  STORY                42 +- 28.8    0.02%  40.92%
 628  ASHLEY               42 +- 28.8    0.02%  40.94%
 629  CONRAD               42 +- 28.8    0.02%  40.97%
 630  INGRAHAM             42 +- 28.8    0.02%  40.99%
 631  GAMBLE               42 +- 28.8    0.02%  41.01%
 632  KIRK                 42 +- 28.8    0.02%  41.03%
 633  GUNTER               42 +- 28.8    0.02%  41.05%
 634  DAWSON               42 +- 28.8    0.02%  41.07%
 635  CROSBY               42 +- 28.8    0.02%  41.09%
 636  SHIRLEY              42 +- 28.8    0.02%  41.11%
 637  CALVIN               41 +- 28.5    0.02%  41.14%
 638  HOOKER               41 +- 28.5    0.02%  41.16%
 639  M.CKINNEY            41 +- 28.5    0.02%  41.18%
 640  WARE                 41 +- 28.5    0.02%  41.20%
 641  DAVENPORT            41 +- 28.5    0.02%  41.22%
 642  STRATTON             41 +- 28.5    0.02%  41.24%
 643  ROWLEY               41 +- 28.5    0.02%  41.26%
 644  MARK                 41 +- 28.5    0.02%  41.28%
 645  HOUGHTON             41 +- 28.5    0.02%  41.30%
 646  RUSSEL               41 +- 28.5    0.02%  41.32%
 647  ELDRIDGE             41 +- 28.5    0.02%  41.34%
 648  FIELD                40 +- 28.1    0.02%  41.36%
 649  HATCHER              40 +- 28.1    0.02%  41.38%
 650  CALLAHAN             40 +- 28.1    0.02%  41.40%
 651  HITCHCOCK            40 +- 28.1    0.02%  41.42%
 652  ROBINS               40 +- 28.1    0.02%  41.44%
 653  BLOOM                40 +- 28.1    0.02%  41.46%
 654  MEAD                 40 +- 28.1    0.02%  41.48%
 655  DOWNING              40 +- 28.1    0.02%  41.50%
 656  M.CCORMICK           40 +- 28.1    0.02%  41.53%
 657  BACON                40 +- 28.1    0.02%  41.55%
 658  GLASS                40 +- 28.1    0.02%  41.57%
 659  INGRAM               40 +- 28.1    0.02%  41.59%
 660  SHOEMAKER            40 +- 28.1    0.02%  41.61%
 661  BERNARD              40 +- 28.1    0.02%  41.63%
 662  LEACH                40 +- 28.1    0.02%  41.65%
 663  WADSWORTH            39 +- 27.8    0.02%  41.67%
 664  GREENE               39 +- 27.8    0.02%  41.69%
 665  COPELAND             39 +- 27.8    0.02%  41.71%
 666  BILLINGS             39 +- 27.8    0.02%  41.73%
 667  CRAY                 39 +- 27.8    0.02%  41.75%
 668  REES                 39 +- 27.8    0.02%  41.76%
 669  HARDEN               39 +- 27.8    0.02%  41.78%
 670  GORHAM               39 +- 27.8    0.02%  41.80%
 671  WESTFALL             39 +- 27.8    0.02%  41.82%
 672  EARLY                39 +- 27.8    0.02%  41.84%
 673  PETTY                39 +- 27.8    0.02%  41.86%
 674  PLATT                39 +- 27.8    0.02%  41.88%
 675  ST JOHN              39 +- 27.8    0.02%  41.90%
 676  WYATT                39 +- 27.8    0.02%  41.92%
 677  DILLON               39 +- 27.8    0.02%  41.94%
 678  BRADSHAW             39 +- 27.8    0.02%  41.96%
 679  ABBOT                39 +- 27.8    0.02%  41.98%
 680  MARSHAL              39 +- 27.8    0.02%  42.00%
 681  BLOOD                39 +- 27.8    0.02%  42.02%
 682  GILMAN               39 +- 27.8    0.02%  42.04%
 683  GAGE                 39 +- 27.8    0.02%  42.06%
 684  FAY                  39 +- 27.8    0.02%  42.08%
 685  KLINE                38 +- 27.4    0.02%  42.10%
 686  HERBERT              38 +- 27.4    0.02%  42.12%
 687  BEACH                38 +- 27.4    0.02%  42.14%
 688  MORROW               38 +- 27.4    0.02%  42.16%
 689  BINGHAM              38 +- 27.4    0.02%  42.18%
 690  JOY                  38 +- 27.4    0.02%  42.20%
 691  FISH                 38 +- 27.4    0.02%  42.22%
 692  DALTON               38 +- 27.4    0.02%  42.23%
 693  WAGONER              38 +- 27.4    0.02%  42.25%
 694  HANNAH               38 +- 27.4    0.02%  42.27%
 695  SHERWOOD             38 +- 27.4    0.02%  42.29%
 696  SANBORN              38 +- 27.4    0.02%  42.31%
 697  VAN HORN             38 +- 27.4    0.02%  42.33%
 698  RINEHART             38 +- 27.4    0.02%  42.35%
 699  GOODRICH             38 +- 27.4    0.02%  42.37%
 700  FARRAR               38 +- 27.4    0.02%  42.39%
 701  HOLDEN               38 +- 27.4    0.02%  42.41%
 702  LESTER               38 +- 27.4    0.02%  42.43%
 703  TRIPP                38 +- 27.4    0.02%  42.45%
 704  M.CLAUGHLIN          38 +- 27.4    0.02%  42.47%
 705  COMBS                38 +- 27.4    0.02%  42.48%
 706  MOWRY                38 +- 27.4    0.02%  42.50%
 707  GIFFORD              38 +- 27.4    0.02%  42.52%
 708  BOYLE                38 +- 27.4    0.02%  42.54%
 709  PINKHAM              38 +- 27.4    0.02%  42.56%
 710  KIRBY                38 +- 27.4    0.02%  42.58%
 711  KELSEY               38 +- 27.4    0.02%  42.60%
 712  STILES               38 +- 27.4    0.02%  42.62%
 713  POPE                 37 +- 27.1    0.02%  42.64%
 714  KANE                 37 +- 27.1    0.02%  42.66%
 715  SCHAFFER             37 +- 27.1    0.02%  42.67%
 716  FRANK                37 +- 27.1    0.02%  42.69%
 717  HATFIELD             37 +- 27.1    0.02%  42.71%
 718  QUICK                37 +- 27.1    0.02%  42.73%
 719  HOTCHKISS            37 +- 27.1    0.02%  42.75%
 720  WALES                37 +- 27.1    0.02%  42.77%
 721  HERRICK              37 +- 27.1    0.02%  42.79%
 722  SIMONS               37 +- 27.1    0.02%  42.81%
 723  MORAN                37 +- 27.1    0.02%  42.82%
 724  WAGGONER             37 +- 27.1    0.02%  42.84%
 725  PAINTER              37 +- 27.1    0.02%  42.86%
 726  STEELE               37 +- 27.1    0.02%  42.88%
 727  ROW                  37 +- 27.1    0.02%  42.90%
 728  SPEAR                37 +- 27.1    0.02%  42.92%
 729  POTTS                37 +- 27.1    0.02%  42.94%
 730  DICKERSON            37 +- 27.1    0.02%  42.96%
 731  CORNELL              37 +- 27.1    0.02%  42.97%
 732  SARGENT              37 +- 27.1    0.02%  42.99%
 733  LOWRY                36 +- 26.7    0.02%  43.01%
 734  CROOKS               36 +- 26.7    0.02%  43.03%
 735  CRANDALL             36 +- 26.7    0.02%  43.05%
 736  ODELL                36 +- 26.7    0.02%  43.07%
 737  BETTS                36 +- 26.7    0.02%  43.08%
 738  CUMMINS              36 +- 26.7    0.02%  43.10%
 739  VAUGHAN              36 +- 26.7    0.02%  43.12%
 740  TRACY                36 +- 26.7    0.02%  43.14%
 741  PICKETT              36 +- 26.7    0.02%  43.16%
 742  BELLOWS              36 +- 26.7    0.02%  43.18%
 743  WALLS                36 +- 26.7    0.02%  43.19%
 744  RAYMOND              36 +- 26.7    0.02%  43.21%
 745  KENEDY               36 +- 26.7    0.02%  43.23%
 746  SELLERS              36 +- 26.7    0.02%  43.25%
 747  CLIFFORD             36 +- 26.7    0.02%  43.27%
 748  BUCHANAN             36 +- 26.7    0.02%  43.28%
 749  LUCE                 36 +- 26.7    0.02%  43.30%
 750  ABRAMS               36 +- 26.7    0.02%  43.32%
 751  DOTY                 36 +- 26.7    0.02%  43.34%
 752  FLANDERS             36 +- 26.7    0.02%  43.36%
 753  BATEMAN              36 +- 26.7    0.02%  43.38%
 754  DAVID                36 +- 26.7    0.02%  43.39%
 755  MYRES                36 +- 26.7    0.02%  43.41%
 756  MURDOCK              36 +- 26.7    0.02%  43.43%
 757  HUMPHRY              36 +- 26.7    0.02%  43.45%
 758  POWER                36 +- 26.7    0.02%  43.47%
 759  ASHTON               36 +- 26.7    0.02%  43.48%
 760  GENTRY               36 +- 26.7    0.02%  43.50%
 761  MCDANIEL             36 +- 26.7    0.02%  43.52%
 762  HARE                 36 +- 26.7    0.02%  43.54%
 763  FREDERICK            36 +- 26.7    0.02%  43.56%
 764  DILL                 36 +- 26.7    0.02%  43.58%
 765  ATWOOD               36 +- 26.7    0.02%  43.59%
 766  RANKIN               36 +- 26.7    0.02%  43.61%
 767  FOREMAN              36 +- 26.7    0.02%  43.63%
 768  COFFEE               36 +- 26.7    0.02%  43.65%
 769  GUTHRIE              36 +- 26.7    0.02%  43.67%
 770  BINKLEY              36 +- 26.7    0.02%  43.69%
 771  TOWN                 35 +- 26.3    0.02%  43.70%
 772  GODWIN               35 +- 26.3    0.02%  43.72%
 773  TYSON                35 +- 26.3    0.02%  43.74%
 774  LANG                 35 +- 26.3    0.02%  43.76%
 775  BARNEY               35 +- 26.3    0.02%  43.77%
 776  CALVERT              35 +- 26.3    0.02%  43.79%
 777  ENNIS                35 +- 26.3    0.02%  43.81%
 778  MEEKS                35 +- 26.3    0.02%  43.83%
 779  ALFORD               35 +- 26.3    0.02%  43.84%
 780  GUY                  35 +- 26.3    0.02%  43.86%
 781  HAM                  35 +- 26.3    0.02%  43.88%
 782  LATHAM               35 +- 26.3    0.02%  43.90%
 783  CHURCH               35 +- 26.3    0.02%  43.92%
 784  SHARPE               35 +- 26.3    0.02%  43.93%
 785  WEBBER               35 +- 26.3    0.02%  43.95%
 786  M.CBRIDE             35 +- 26.3    0.02%  43.97%
 787  MOON                 35 +- 26.3    0.02%  43.99%
 788  WESTBROOK            35 +- 26.3    0.02%  44.00%
 789  SIMS                 35 +- 26.3    0.02%  44.02%
 790  MOSS                 35 +- 26.3    0.02%  44.04%
 791  HAY                  35 +- 26.3    0.02%  44.06%
 792  SPRINGER             35 +- 26.3    0.02%  44.07%
 793  EAST                 35 +- 26.3    0.02%  44.09%
 794  MINTON               35 +- 26.3    0.02%  44.11%
 795  BEAR                 35 +- 26.3    0.02%  44.13%
 796  GALLOWAY             35 +- 26.3    0.02%  44.15%
 797  CLEMENT              35 +- 26.3    0.02%  44.16%
 798  BRIANT               35 +- 26.3    0.02%  44.18%
 799  BUCHER               35 +- 26.3    0.02%  44.20%
 800  FRAZIER              35 +- 26.3    0.02%  44.22%
 801  NEWHALL              35 +- 26.3    0.02%  44.23%
 802  SHANNON              35 +- 26.3    0.02%  44.25%
 803  ATKINSON             35 +- 26.3    0.02%  44.27%
 804  PURDY                34 +- 25.9    0.02%  44.29%
 805  LANCASTER            34 +- 25.9    0.02%  44.30%
 806  HENDRIX              34 +- 25.9    0.02%  44.32%
 807  M.CDANIEL            34 +- 25.9    0.02%  44.34%
 808  MAYES                34 +- 25.9    0.02%  44.36%
 809  CANADY               34 +- 25.9    0.02%  44.37%
 810  CLAPP                34 +- 25.9    0.02%  44.39%
 811  MCBRIDE              34 +- 25.9    0.02%  44.41%
 812  BURROWS              34 +- 25.9    0.02%  44.42%
 813  JOINER               34 +- 25.9    0.02%  44.44%
 814  COLBY                34 +- 25.9    0.02%  44.46%
 815  MARY                 34 +- 25.9    0.02%  44.48%
 816  MOSES                34 +- 25.9    0.02%  44.49%
 817  MULLINS              34 +- 25.9    0.02%  44.51%
 818  MAYO                 34 +- 25.9    0.02%  44.53%
 819  KYLE                 34 +- 25.9    0.02%  44.54%
 820  HESS                 34 +- 25.9    0.02%  44.56%
 821  DREW                 34 +- 25.9    0.02%  44.58%
 822  PATTON               34 +- 25.9    0.02%  44.60%
 823  LITTLEFIELD          34 +- 25.9    0.02%  44.61%
 824  HELM                 34 +- 25.9    0.02%  44.63%
 825  BLISS                34 +- 25.9    0.02%  44.65%
 826  FARRELL              34 +- 25.9    0.02%  44.67%
 827  STARR                34 +- 25.9    0.02%  44.68%
 828  KETCHUM              34 +- 25.9    0.02%  44.70%
 829  CANE                 34 +- 25.9    0.02%  44.72%
 830  PRESCOTT             34 +- 25.9    0.02%  44.73%
 831  SLOAN                34 +- 25.9    0.02%  44.75%
 832  BIRCH                34 +- 25.9    0.02%  44.77%
 833  BLACKWELL            34 +- 25.9    0.02%  44.79%
 834  SWAN                 34 +- 25.9    0.02%  44.80%
 835  DEAL                 34 +- 25.9    0.02%  44.82%
 836  GROSS                34 +- 25.9    0.02%  44.84%
 837  TEAGUE               34 +- 25.9    0.02%  44.85%
 838  MACKEY               34 +- 25.9    0.02%  44.87%
 839  BARROW               34 +- 25.9    0.02%  44.89%
 840  WORLEY               34 +- 25.9    0.02%  44.91%
 841  STANTON              34 +- 25.9    0.02%  44.92%
 842  MEEK                 34 +- 25.9    0.02%  44.94%
 843  LAUGHLIN             33 +- 25.5    0.02%  44.96%
 844  GLENN                33 +- 25.5    0.02%  44.97%
 845  HASTINGS             33 +- 25.5    0.02%  44.99%
 846  CARROL               33 +- 25.5    0.02%  45.01%
 847  PATE                 33 +- 25.5    0.02%  45.02%
 848  BRANSON              33 +- 25.5    0.02%  45.04%
 849  GRIFFEN              33 +- 25.5    0.02%  45.06%
 850  LANGLEY              33 +- 25.5    0.02%  45.07%
 851  UPTON                33 +- 25.5    0.02%  45.09%
 852  BURR                 33 +- 25.5    0.02%  45.11%
 853  ELIZABETH            33 +- 25.5    0.02%  45.12%
 854  MICHAEL              33 +- 25.5    0.02%  45.14%
 855  HINES                33 +- 25.5    0.02%  45.16%
 856  MCDOWELL             33 +- 25.5    0.02%  45.17%
 857  WILBER               33 +- 25.5    0.02%  45.19%
 858  SANFORD              33 +- 25.5    0.02%  45.21%
 859  WISEMAN              33 +- 25.5    0.02%  45.22%
 860  POWEL                33 +- 25.5    0.02%  45.24%
 861  GLEASON              33 +- 25.5    0.02%  45.26%
 862  DICKEY               33 +- 25.5    0.02%  45.27%
 863  LLOYD                33 +- 25.5    0.02%  45.29%
 864  M.CCARTY             33 +- 25.5    0.02%  45.31%
 865  CRAMER               33 +- 25.5    0.02%  45.32%
 866  LARD                 33 +- 25.5    0.02%  45.34%
 867  M.CKEE               33 +- 25.5    0.02%  45.36%
 868  STAPLES              33 +- 25.5    0.02%  45.37%
 869  CLOUGH               33 +- 25.5    0.02%  45.39%
 870  HARTLEY              32 +- 25.2    0.02%  45.41%
 871  MC CARTY             32 +- 25.2    0.02%  45.42%
 872  ROE                  32 +- 25.2    0.02%  45.44%
 873  SHANK                32 +- 25.2    0.02%  45.46%
 874  BRISTOL              32 +- 25.2    0.02%  45.47%
 875  TRAVIS               32 +- 25.2    0.02%  45.49%
 876  DODSON               32 +- 25.2    0.02%  45.50%
 877  CALHOUN              32 +- 25.2    0.02%  45.52%
 878  SEYMOUR              32 +- 25.2    0.02%  45.54%
 879  SHULTZ               32 +- 25.2    0.02%  45.55%
 880  BRAGG                32 +- 25.2    0.02%  45.57%
 881  CROW                 32 +- 25.2    0.02%  45.59%
 882  GRACE                32 +- 25.2    0.02%  45.60%
 883  FLOWERS              32 +- 25.2    0.02%  45.62%
 884  WILLARD              32 +- 25.2    0.02%  45.63%
 885  !                    32 +- 25.2    0.02%  45.65%
 886  MEYER                32 +- 25.2    0.02%  45.67%
 887  MOTT                 32 +- 25.2    0.02%  45.68%
 888  SHEARER              32 +- 25.2    0.02%  45.70%
 889  MATHER               32 +- 25.2    0.02%  45.71%
 890  GARDENER             32 +- 25.2    0.02%  45.73%
 891  SHANE                32 +- 25.2    0.02%  45.75%
 892  HUTCHINS             32 +- 25.2    0.02%  45.76%
 893  THOMSON              32 +- 25.2    0.02%  45.78%
 894  CONANT               31 +- 24.8    0.02%  45.80%
 895  M.CPHERSON           31 +- 24.8    0.02%  45.81%
 896  HADLEY               31 +- 24.8    0.02%  45.83%
 897  WHITMAN              31 +- 24.8    0.02%  45.84%
 898  PLUMMER              31 +- 24.8    0.02%  45.86%
 899  FRITZ                31 +- 24.8    0.02%  45.87%
 900  BENTLY               31 +- 24.8    0.02%  45.89%
 901  BYERS                31 +- 24.8    0.02%  45.90%
 902  REGAN                31 +- 24.8    0.02%  45.92%
 903  THORP                31 +- 24.8    0.02%  45.94%
 904  COBURN               31 +- 24.8    0.02%  45.95%
 905  BATTEN               31 +- 24.8    0.02%  45.97%
 906  DUGAN                31 +- 24.8    0.02%  45.98%
 907  BEASLEY              31 +- 24.8    0.02%  46.00%
 908  NASH                 31 +- 24.8    0.02%  46.01%
 909  DICKENSON            31 +- 24.8    0.02%  46.03%
 910  DUNBAR               31 +- 24.8    0.02%  46.05%
 911  ATWATER              31 +- 24.8    0.02%  46.06%
 912  DYE                  31 +- 24.8    0.02%  46.08%
 913  HENSON               31 +- 24.8    0.02%  46.09%
 914  KEITH                31 +- 24.8    0.02%  46.11%
 915  ORR                  31 +- 24.8    0.02%  46.12%
 916  BURNHAM              31 +- 24.8    0.02%  46.14%
 917  MOONEY               31 +- 24.8    0.02%  46.16%
 918  LAMB                 31 +- 24.8    0.02%  46.17%
 919  ONEAL                31 +- 24.8    0.02%  46.19%
 920  CATON                31 +- 24.8    0.02%  46.20%
 921  WELSH                31 +- 24.8    0.02%  46.22%
 922  JENKS                31 +- 24.8    0.02%  46.23%
 923  PATTEN               31 +- 24.8    0.02%  46.25%
 924  ERWIN                31 +- 24.8    0.02%  46.27%
 925  FITTS                31 +- 24.8    0.02%  46.28%
 926  PACE                 31 +- 24.8    0.02%  46.30%
 927  DONOVAN              31 +- 24.8    0.02%  46.31%
 928  TOMPKINS             30 +- 24.4    0.02%  46.33%
 929  PRINCE               30 +- 24.4    0.02%  46.34%
 930  CROUSE               30 +- 24.4    0.02%  46.36%
 931  MORRELL              30 +- 24.4    0.02%  46.37%
 932  THACKER              30 +- 24.4    0.02%  46.39%
 933  CURRY                30 +- 24.4    0.02%  46.40%
 934  PUTNAM               30 +- 24.4    0.02%  46.42%
 935  FINLEY               30 +- 24.4    0.02%  46.43%
 936  POLK                 30 +- 24.4    0.02%  46.45%
 937  DELONG               30 +- 24.4    0.02%  46.46%
 938  MEADOWS              30 +- 24.4    0.02%  46.48%
 939  MINER                30 +- 24.4    0.02%  46.49%
 940  GREENWOOD            30 +- 24.4    0.02%  46.51%
 941  COLVIN               30 +- 24.4    0.02%  46.53%
 942  ORMSBY               30 +- 24.4    0.02%  46.54%
 943  DOOLITTLE            30 +- 24.4    0.02%  46.56%
 944  RISER                30 +- 24.4    0.02%  46.57%
 945  COREY                30 +- 24.4    0.02%  46.59%
 946  RUNNELS              30 +- 24.4    0.02%  46.60%
 947  BUCKINGHAM           30 +- 24.4    0.02%  46.62%
 948  BRADLY               30 +- 24.4    0.02%  46.63%
 949  MOULTON              30 +- 24.4    0.02%  46.65%
 950  KENDRICK             30 +- 24.4    0.02%  46.66%
 951  RUDD                 30 +- 24.4    0.02%  46.68%
 952  RICKER               30 +- 24.4    0.02%  46.69%
 953  PIPER                30 +- 24.4    0.02%  46.71%
 954  STERLING             30 +- 24.4    0.02%  46.72%
 955  CASEY                30 +- 24.4    0.02%  46.74%
 956  KIRKPATRICK          30 +- 24.4    0.02%  46.75%
 957  IVEY                 30 +- 24.4    0.02%  46.77%
 958  GILSON               30 +- 24.4    0.02%  46.78%
 959  BASS                 30 +- 24.4    0.02%  46.80%
 960  SHIELDS              30 +- 24.4    0.02%  46.81%
 961  HUTCHINGS            30 +- 24.4    0.02%  46.83%
 962  HARRY                30 +- 24.4    0.02%  46.84%
 963  RUDE                 30 +- 24.4    0.02%  46.86%
 964  ANGELL               30 +- 24.4    0.02%  46.87%
 965  RUTHERFORD           30 +- 24.4    0.02%  46.89%
 966  SPOONER              30 +- 24.4    0.02%  46.90%
 967  CAHILL               30 +- 24.4    0.02%  46.92%
 968  POOL                 30 +- 24.4    0.02%  46.93%
 969  BENTON               30 +- 24.4    0.02%  46.95%
 970  VAIL                 30 +- 24.4    0.02%  46.97%
 971  REDMAN               30 +- 24.4    0.02%  46.98%
 972  PAUL                 30 +- 24.4    0.02%  47.00%
 973  GALE                 30 +- 24.4    0.02%  47.01%
 974  HUSTON               30 +- 24.4    0.02%  47.03%
 975  SPALDING             30 +- 24.4    0.02%  47.04%
 976  BARLOW               29 +- 24.0    0.01%  47.06%
 977  BURRIS               29 +- 24.0    0.01%  47.07%
 978  MULLEN               29 +- 24.0    0.01%  47.09%
 979  GORDEN               29 +- 24.0    0.01%  47.10%
 980  FLINN                29 +- 24.0    0.01%  47.11%
 981  NYE                  29 +- 24.0    0.01%  47.13%
 982  BUNDY                29 +- 24.0    0.01%  47.14%
 983  RUTTER               29 +- 24.0    0.01%  47.16%
 984  KENNEY               29 +- 24.0    0.01%  47.17%
 985  DERR                 29 +- 24.0    0.01%  47.19%
 986  SINGLETON            29 +- 24.0    0.01%  47.20%
 987  HULBERT              29 +- 24.0    0.01%  47.22%
 988  STUART               29 +- 24.0    0.01%  47.23%
 989  MEEKER               29 +- 24.0    0.01%  47.25%
 990  FINCH                29 +- 24.0    0.01%  47.26%
 991  PERRIN               29 +- 24.0    0.01%  47.28%
 992  MYER                 29 +- 24.0    0.01%  47.29%
 993  MANSFIELD            29 +- 24.0    0.01%  47.31%
 994  PENNINGTON           29 +- 24.0    0.01%  47.32%
 995  LAYTON               29 +- 24.0    0.01%  47.33%
 996  CHADWICK             29 +- 24.0    0.01%  47.35%
 997  BUCKLEY              29 +- 24.0    0.01%  47.36%
 998  HOLLIS               29 +- 24.0    0.01%  47.38%
 999  PEIRCE               29 +- 24.0    0.01%  47.39%
1000  HOLLISTER            29 +- 24.0    0.01%  47.41%
1001  CADY                 29 +- 24.0    0.01%  47.42%
1002  WITT                 29 +- 24.0    0.01%  47.44%
